OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1894555,4092017126,SASSOOL,1347 KILDAIRE FARM RD ,CARY,27511,+19193005586,2015-12-07,19457,-78.78193974,35.75976658,M
1894556,4092016996,DICED GOURMET SALADS AND WRAPS,1377 KILDAIRE FARM RD ,CARY,27511,+19193778572,2015-08-11,19470,-78.78193974,35.75976658,M
1894557,4092016999,BAWARCHI,9601 CHAPEL HILL RD ,MORRISVILLE,27560,+19194397070,2015-07-29,19471,-78.8106566,35.8060206,M
1894558,4092018195,The Winchester Pub & Bottle Shop,6146 Falls of Neuse RD ,RALEIGH,27609,+19198966955,2019-10-14,19468,-78.62052805,35.86636362,M
1894559,4092015580,CHINA PEARL CHINESE RESTAURANT,2841 JONES FRANKLIN RD ,RALEIGH,27606,+19198510358,2010-03-17,19474,-78.73773412,35.74361197,M
1894560,4092016844,DUCK DONUTS,100 WRENN DR ,CARY,27511,+19194688722,2014-12-17,19487,-78.78400849,35.76514973,M
1894562,4092017143,JUBALA COFFEE,2100-100 HILLSBOROUGH ST ,RALEIGH,27607,+19197921767,2016-01-28,19484,-78.6631086,35.78642353,M
1894563,4092018540,Jordan Oaks,10820 Penny RD ,CARY,27518,+19193878250,2021-02-22,19505,-78.79549961,35.71735337,M
1894564,4092015148,Sake House Japanese Restaurant,1141 Falls River AVE ,RALEIGH,27614,+19196765788,2008-06-18,19521,-78.58877443,35.90718863,M
1894565,4092016479,THE OVAL,1910 ENTREPRENEUR DR ,RALEIGH,27606,+19195137602,2013-08-02,19526,-78.67386461,35.77009309,M
1894566,4092015033,Jersey Mikes Subs,1121-105 Falls River AVE ,RALEIGH,27614,+19198484343,2007-12-12,19497,-78.58829014,35.90616936,M
1894567,4092015191,TASTE OF CHINA,6209 ROCK QUARRY RD ,RALEIGH,27610,+19197732285,2008-08-04,19528,-78.54796019,35.72312495,M
1894568,4092018451,KOI RAMEN,919 N HARRISON AVE ,CARY,27513,+19193778088,2020-09-25,19533,-78.78340203,35.80068085,M
1894570,4092015308,HILTON GARDEN INN RESTAURANT,6412 CAPITAL  BLVD ,RALEIGH,27616,+19198765650,2008-12-19,19551,-78.57788965,35.87240322,M
1894572,4092017989,Vicious Fishes Brewery Tap & Kitchen,132 S Fuquay AVE ,FUQUAY-VARINA,27526,nan,2018-12-03,19554,-78.79867676,35.58323642,M
