OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1927920,4092014863,Life Cafe,1700 Regency PKY ,CARY,27511,+19194608340,2007-05-09,20168,-78.78729265,35.73332654,M
1927921,4092018588,Wendy's,7460 Louisburg RD ,RALEIGH,27616,+19197130810,2021-03-24,20169,-78.53977,35.87454018,M
1927922,4092018182,Dunkin Donuts/Baskin Robbins #331785,7137 KNIGHTDALE BLVD ,KNIGHTDALE,27545,+19192179603,2019-09-24,20176,-78.48976003,35.79874455,M
1927923,4092018540,Jordan Oaks,10820 Penny RD ,CARY,27518,+19193878250,2021-02-22,20179,-78.79549961,35.71735337,M
1927925,4092018111,Cape Fear Seafood Co,832 SPRING FOREST RD,RALEIGH,27609,+19842424600,2019-06-06,20185,-78.62263526,35.8662752,M
1927926,4092016189,BURGER KING #17359,851 VILLAGE WALK DR ,HOLLY SPRINGS,27540,+19195520650,2012-05-31,20186,-78.8349912,35.63884148,M
1927928,4092018350,Tropical Smoothie Cafe NC24,228 Crossroads BLVD ,CARY,27518,+19196518379,2020-04-15,20206,-78.73871452,35.76064286,M
1927929,4092018409,MOD Pizza - Waverly,316 Colonades Way,CARY,27518,+19192417200,2020-07-27,20219,-78.77756307,35.73853619,M
1927930,4092017095,ARBY'S RESTAURANT  #6036,151 WAKELON ST ,ZEBULON,27597,+19192690995,2015-11-23,20228,-78.31572903,35.83347119,M
1927932,4092015861,Lucky 7,906 NE Maynard RD ,CARY,27513,+19193807550,2011-01-10,20242,-78.76838489,35.80043169,M
1927934,4092018195,The Winchester Pub & Bottle Shop,6146 Falls of Neuse RD ,RALEIGH,27609,+19198966955,2019-10-14,20252,-78.62052805,35.86636362,M
1927936,4092016754,SUBWAY #1120,3639 NEW BERN AVE ,RALEIGH,27610-1232,+19192509393,2014-09-05,20261,-78.57923704,35.79885313,M
1927939,4092015817,CHOW,8311 CREEDMOOR RD ,RALEIGH,27613,+19198414995,2010-11-10,20282,-78.68223183,35.90105252,M
1927940,4092018549,Italian Kitchen of Raleigh,3209 Hillsborough ST ,RALEIGH,27607,+19199008317,2021-03-04,20293,-78.67978839,35.79046192,M
1927941,4092018265,Verena at Bedford Falls,1580 DUNN RD,RALEIGH,27614-9308,+19198467216,2019-12-12,20297,-78.58662877,35.92446259,M
