"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"747D3330-EB03-1FF6-C535EFF92E74E48E","El Tapatio","13200 Falls of Neuse Road","RALEIGH","NC","27614","","","19195549697"
"74939767-BFE5-9A69-65212AC337C76878","Jellybeans","10701 Common Oaks Dr","RALEIGH","NC","27614","","","19195622326"
"74972E65-EEEA-B834-796D05B2CF2170F9","Butcher Block American Grill","10630 Durant Road","RALEIGH","NC","27614","","","19198469100"
"75001D07-5056-A20B-FA5C4A7D3ADCCBA7","MORRISVILLE DELI","3524 DAVIS DR ","MORRISVILLE","NC","27560","","","19196564158"
"751E764D-CCEE-B601-73E2B5E0ED400D76","Quiznos Subs #6231","200 W Lane ST","RALEIGH","NC","27603","","","111111119198"
"7545","Prestonwood Country Club Ballroom Kitchen","300 Prestonwood PKY","CARY","NC","27513","","","111111111111111"
"7578B461-5056-A20B-FA3C52E8B73D87AB","NASHERS SANDWICH HOUSE","10630-104 DURANT RD ","RALEIGH","NC","27614","","",""
"75833D22-13D3-173D-A97E12693B4B7249","CHICK-FIL-A #00585","400 FAYETTEVILLE ST ","RALEIGH","NC","27601","","","111111111111111"
"75863503-14C7-1096-2DA879152594CC6E","Cinelli's Of North Hillls ","4158-103 Main at North Hills  ","RALEIGH","NC","27609","","","19199715044"
"75B42EAD-DA0E-A995-E49EE7F0B94FC66E","Applebee's #353","7831 Target CIR ","RALEIGH","NC","27614","","","19198722401"
"75B43045-B9D3-61CA-E0BB8A5AA2CC5246","BURGER FI #0002","3004 WAKE FOREST  RD ","RALEIGH","NC","27609","","","19199993700"
"75BFDC7E-E8CC-3490-B868DAE86D0DE58C","CHIPOTLE #1946","1516 VILLAGE MARKET  PL ","MORRISVILLE","NC","27560","","","19192383971"
"75CBDD0B-084B-9D06-FD87192262E005DC","SUSHI LULU","3607 FALLS RIVER  AVE ","RALEIGH","NC","27614","","","19197479720"
"763BB91D-D57A-96F3-D84C95C524FC47E9","McDonald's #10148","141 Wakelon DR","ZEBULON","NC","27597","","","19192696650"
"768BBE7B-06A2-A613-25019858E6CE471C","NEW BERN SUBS &amp; GRILL","3701 NEW BERN AVE ","RALEIGH","NC","27610-1336","","","19192317771"
"769FFA50-3048-9838-FCA662CAB4F3A1E9","THE BRICKHOUSE","3801 HILLSBOROUGH ST ","RALEIGH","NC","27607","","","19198293666"
"76CE520D-D5FA-4B89-25AC22F673520851","FLAME KABOB","7961 SKYLAND RIDGE PKY ","RALEIGH","NC","27617","","","19195962525"
"770","Mosaic et Wine Lounge","517 W Jones ST ","RALEIGH","NC","27603","","","111111111111111"
"777AAECB-A9EF-B557-3E47BE92C668FEC7","HARRIS TEETER #136 DELI","9600 FALLS OF NEUSE  RD ","RALEIGH","NC","27615","","","19196766614"
"77C720FF-C117-D40A-221E1D6F8F356CC2","Seoul Garden Restaurant","4701-131 Atlantic Ave","RALEIGH","NC","27604","","","19198509984"
"780E9266-D27D-123D-F43A15EB6A67F99B","JASON'S PIZZA","726 N MAIN ST ","FUQUAY VARINA","NC","27526","","","19195238661"
"78B3D1B2-B4ED-8C38-0BBCB78311A84278","STARBUCKS PRE-SECURITY","2400 JOHN BRANTLEY BLVD / RDU","MORRISVILLE","NC","27560","","","19198407445"
"7921C4AF-CF6C-9FFD-EDD3A31C45A9BBE0","JUSTICE CENTER CAFE","300 S SALISBURY ST ","RALEIGH","NC","27601","","","19198319292"
"79A0677E-0022-2422-DF5473AA89257559","THE OC BAR &amp; GRILL","1028 OBERLIN RD ","RALEIGH","NC","27605","","","19193229710"
"79E9CABB-A4BD-160C-510ED35242F944CB","FRESH LOCAL ICE CREAM","6033 GLENWOOD AVE ","RALEIGH","NC","27612","","","19197855030"
"7A0E3BFA-CA64-1932-DCEBB2667E0D71D4","TAQUERIA LA HERRADURA ","748 E CHATHAM ST ","CARY","NC","27511","","","19194651435"
"7A22E62E-DF2F-0B92-FF87E19A9FA02FA9","GARLAND","14 W MARTIN ST ","RALEIGH","NC","27601","","","19198336886"
"7A7730A7-D1BE-17C2-2CC406B9A5CCC18E","WHICH WICH #327","3301 VILLAGE MARKET  PL ","MORRISVILLE","NC","27560","","","19193089424"
"7AB18105-0B3E-BE80-A8D22BA70F3A8FFB","JASMIN MEDITERRANEAN BISTRO","424 E SIX FORKS RD ","RALEIGH","NC","27609","","","19197433336"
"7AD20380-3048-9838-FCA8C5E1B7DA8B1F","TGI Friday's #2175","1100 TIMBER  DR E ","GARNER","NC","27529","","","19197791935"
"7ADC992A-0F8C-5E4E-F6B2FA561E8EFCA2","SHEETZ #513","9915 FAYETTEVILLE RD ","RALEIGH","NC","27603","","","19195771110"
"7AEBF9FE-B57E-25A9-563C252EB604A760","SUBWAY #57757","2020 HILLSBOROUGH ST ","RALEIGH","NC","27607","","","19193222015"
"7B0D3468-B6B2-5BF9-D8A9DA7CD876FE0E","SUSHI GAMI","427 WOODBURN RD ","RALEIGH","NC","27605","","","19198338883"
"7B147750-9B65-43E3-A355AB6A6A98ACF5","DOHERTY'S IRISH PUB &amp; RESTAURANT","1979 HIGH HOUSE RD ","CARY","NC","27519","","","19193889930"
